"Method","Chain","Parameter","Mean","Median","Std_Dev","CrI_95_Lower","CrI_95_Upper","Odds_Ratio"
"CMC-RWMH final consensus",2,"road_typeslip road (from 2005)",-0.74896059369443,-0.746613162205502,0.118900613383498,-0.987913440647276,-0.520800442593449,0.472857788767159
"CMC-RWMH final consensus",2,"speed_limit1",0.15617171505628,0.156367391578095,0.0721024950039278,0.0153361380004902,0.298210792749319,1.16902692538014
"CMC-RWMH final consensus",2,"speed_limit3",0.184627019444017,0.184313566313311,0.0382609941635554,0.11011528608235,0.260954474938823,1.20276974672709
"CMC-RWMH final consensus",2,"speed_limit4",0.398361113405102,0.398608942610153,0.0570240830644363,0.287301627951558,0.509690919679226,1.48938176853105
"CMC-RWMH final consensus",2,"speed_limit5",0.5391264600322,0.539166402955823,0.0330711316436366,0.473966320917805,0.603521680553122,1.71450851613358
"CMC-RWMH final consensus",2,"speed_limit6",0.387210063149399,0.386930913111518,0.0678594446888291,0.253809460208042,0.520467566559976,1.47286585361904
"CMC-RWMH final consensus",3,"(Intercept)",-1.89832501416949,-1.89843054054886,0.0129009086102368,-1.92350485565081,-1.8727843107369,0.149819354470894
"CMC-RWMH final consensus",3,"road_typedual carriageway",-0.222112394637925,-0.221747869527078,0.0391453552051479,-0.299206439875183,-0.146589672229033,0.80082535080089
"CMC-RWMH final consensus",3,"road_typeone way street (from 2005)",-0.00773840804062093,-0.00814746900683691,0.0744683229576395,-0.151563222021742,0.138935589038304,0.992291456354937
"CMC-RWMH final consensus",3,"road_typeroundabout",-0.409238377422123,-0.409022863865384,0.0372988586302087,-0.482304009091933,-0.335887366504119,0.664155893680965
"CMC-RWMH final consensus",3,"road_typeslip road (from 2005)",-0.755166923178276,-0.752384576103013,0.121360573253566,-0.999763990810255,-0.523861502775684,0.469932165612574
"CMC-RWMH final consensus",3,"speed_limit1",0.161559329235835,0.161738929777603,0.0723895335871037,0.0190308067470306,0.302599742770574,1.17534218824371
"CMC-RWMH final consensus",3,"speed_limit3",0.184459195520875,0.1845240337584,0.0393435707862672,0.107601542138934,0.261721297956467,1.20256791012653
"CMC-RWMH final consensus",3,"speed_limit4",0.39535215822867,0.3948529428545,0.0577715530383696,0.283582630355064,0.50838492337364,1.48490702108232
"CMC-RWMH final consensus",3,"speed_limit5",0.537441068619847,0.537604780817433,0.0327430085647524,0.473466209649781,0.601413130883765,1.71162133190527
"CMC-RWMH final consensus",3,"speed_limit6",0.386466832792926,0.387045370042431,0.0683075699558356,0.250842552814927,0.519396662290507,1.47177158170404
"CMC-RWMH final consensus",4,"(Intercept)",-1.8971803834748,-1.89723411506122,0.0126711497316137,-1.92177745177305,-1.8722931261702,0.149990940485256
"CMC-RWMH final consensus",4,"road_typedual carriageway",-0.222764382436804,-0.222150504776777,0.0391803908444391,-0.301492672916716,-0.147702616300627,0.800303392616808
"CMC-RWMH final consensus",4,"road_typeone way street (from 2005)",-0.0137076196367046,-0.0130963500628959,0.0740859017612228,-0.160191769734603,0.128580467589527,0.98638590197411
"CMC-RWMH final consensus",4,"road_typeroundabout",-0.410287774900697,-0.41000941515125,0.0368473936441893,-0.483221340456403,-0.338521732595526,0.663459295728749
"CMC-RWMH final consensus",4,"road_typeslip road (from 2005)",-0.746864709422673,-0.745799891304167,0.119267282784689,-0.985688472737562,-0.516501583436993,0.473849883263873
"CMC-RWMH final consensus",4,"speed_limit1",0.160711803796204,0.162023505228615,0.0717119179829831,0.0173122613835827,0.299487904447818,1.17434647784345
"CMC-RWMH final consensus",4,"speed_limit3",0.179760687569722,0.179645154239652,0.0381955090746494,0.104464515897769,0.253596396127366,1.19693088840492
"CMC-RWMH final consensus",4,"speed_limit4",0.394197039446768,0.394428296158639,0.0570151981870081,0.280404544699502,0.504895402247837,1.48319276736684
"CMC-RWMH final consensus",4,"speed_limit5",0.535937640687959,0.536072212637176,0.0325073432471982,0.472276121080111,0.599465965591058,1.70904996600206
"CMC-RWMH final consensus",4,"speed_limit6",0.378012985818923,0.378131883199975,0.0685430396151233,0.243708044132627,0.511581661059329,1.45938189402176
