"Method","Chain","Parameter","Mean","Median","Std_Dev","CrI_95_Lower","CrI_95_Upper","Odds_Ratio"
"CMC-IMH final consensus",3,"road_typeslip road (from 2005)",-0.744153313673712,-0.742351738319988,0.120480567023252,-0.984396552454581,-0.513588916675769,0.475136421191551
"CMC-IMH final consensus",3,"speed_limit1",0.160507124888937,0.16095980634204,0.0723041929722306,0.0173050886994737,0.300807906685728,1.17410613848665
"CMC-IMH final consensus",3,"speed_limit3",0.182448341241226,0.182562194007043,0.0383856179651815,0.106969266110885,0.257395554477472,1.20015215098171
"CMC-IMH final consensus",3,"speed_limit4",0.391631298200764,0.391802226107765,0.0574086438806297,0.278478036202972,0.502690587979614,1.47939215628509
"CMC-IMH final consensus",3,"speed_limit5",0.537689322768661,0.53758324448201,0.0326755549301201,0.473789253714909,0.602094200251416,1.71204630175019
"CMC-IMH final consensus",3,"speed_limit6",0.387644758491376,0.387701698080006,0.0687426899845499,0.252800950424052,0.521955665520797,1.47350624072152
"CMC-IMH final consensus",4,"(Intercept)",-1.89804846946649,-1.89796426582667,0.0129231583909283,-1.92341333424472,-1.87276010447755,0.149860791949175
"CMC-IMH final consensus",4,"road_typedual carriageway",-0.224241896526264,-0.224269681919346,0.0392124895170467,-0.301683127557897,-0.147658203310914,0.79912180619862
"CMC-IMH final consensus",4,"road_typeone way street (from 2005)",-0.0129513486260199,-0.012361584630052,0.0732567035447498,-0.158544959585537,0.128417679102416,0.987132159187902
"CMC-IMH final consensus",4,"road_typeroundabout",-0.410271675116221,-0.410217331305464,0.0369827922994306,-0.483113533694816,-0.337843137593728,0.663469977366405
"CMC-IMH final consensus",4,"road_typeslip road (from 2005)",-0.74857171833224,-0.747075426348095,0.120858930461786,-0.990642925766524,-0.517476994815695,0.4730417072694
"CMC-IMH final consensus",4,"speed_limit1",0.159755497247765,0.160248062759854,0.0725961764914435,0.0161755199281175,0.300599620304254,1.17322397942839
"CMC-IMH final consensus",4,"speed_limit3",0.182332171615008,0.182487685710417,0.0384321247328241,0.106832226417844,0.257577980843552,1.20001273785287
"CMC-IMH final consensus",4,"speed_limit4",0.39452590274891,0.394764608950685,0.0573502100155013,0.281080597733765,0.505454789294,1.48368061525126
"CMC-IMH final consensus",4,"speed_limit5",0.537871383864467,0.537907662502016,0.032702173960371,0.47374199298868,0.602016083020317,1.71235802715163
"CMC-IMH final consensus",4,"speed_limit6",0.388036077108024,0.388008849472373,0.0686974263384545,0.252066749958071,0.521898491250056,1.47408296397918
