"Method","Parameter","Rhat","Rhat_Upper_CI"
"CMC-IMH Shard 3","speed_limit4",1.00001027203373,1.00003146708894
"CMC-IMH Shard 3","speed_limit5",1.00000531541498,1.00002417589268
"CMC-IMH Shard 3","speed_limit6",1.00002927069248,1.00008961407022
"CMC-IMH Shard 4","(Intercept)",1.00001980315098,1.00007013704739
"CMC-IMH Shard 4","road_typedual carriageway",0.999996452103205,0.999999160726152
"CMC-IMH Shard 4","road_typeone way street (from 2005)",1.00001169380665,1.00003185164871
"CMC-IMH Shard 4","road_typeroundabout",1.00001353142349,1.0000238353477
"CMC-IMH Shard 4","road_typeslip road (from 2005)",1.00010695957947,1.0001662204211
"CMC-IMH Shard 4","speed_limit1",1.00006558235822,1.00021381649842
"CMC-IMH Shard 4","speed_limit3",1.00000807081557,1.00001869462409
"CMC-IMH Shard 4","speed_limit4",1.00001940763655,1.00006873860652
"CMC-IMH Shard 4","speed_limit5",1.00002646127095,1.00006260999021
"CMC-IMH Shard 4","speed_limit6",1.00000940244177,1.00001921279391
"CMC-IMH Shard 5","(Intercept)",1.00000527563768,1.00000689974967
"CMC-IMH Shard 5","road_typedual carriageway",1.00000645318685,1.00001931933706
"CMC-IMH Shard 5","road_typeone way street (from 2005)",1.00001618143458,1.00005290080101
"CMC-IMH Shard 5","road_typeroundabout",1.00000155428838,1.00000909081316
"CMC-IMH Shard 5","road_typeslip road (from 2005)",1.00001000046616,1.00001858755039
"CMC-IMH Shard 5","speed_limit1",1.00001543630527,1.00004205319569
"CMC-IMH Shard 5","speed_limit3",1.00001753960483,1.00003969720775
"CMC-IMH Shard 5","speed_limit4",1.00000640257134,1.00002004981064
"CMC-IMH Shard 5","speed_limit5",1.00001904229666,1.00006818096646
"CMC-IMH Shard 5","speed_limit6",1.00000756700616,1.00001582352502
"CMC-IMH Shard 6","(Intercept)",1.00000535175776,1.00002137934351
"CMC-IMH Shard 6","road_typedual carriageway",1.00001015505354,1.00004094640724
"CMC-IMH Shard 6","road_typeone way street (from 2005)",1.00000695668146,1.00003001134757
"CMC-IMH Shard 6","road_typeroundabout",1.00002517847743,1.000089396087
"CMC-IMH Shard 6","road_typeslip road (from 2005)",1.00003866888288,1.000078186139
"CMC-IMH Shard 6","speed_limit1",1.00000814023574,1.00002569857698
"CMC-IMH Shard 6","speed_limit3",1.00001554516694,1.00004626668204
"CMC-IMH Shard 6","speed_limit4",1.00002208222713,1.00004893072384
"CMC-IMH Shard 6","speed_limit5",1.00000594064236,1.00001830791758
"CMC-IMH Shard 6","speed_limit6",1.00000146289042,1.00000640587211
"CMC-IMH Shard 7","(Intercept)",1.00000324801701,1.00001902053916
"CMC-IMH Shard 7","road_typedual carriageway",1.00000805160958,1.00003263116758
"CMC-IMH Shard 7","road_typeone way street (from 2005)",1.00000073541476,1.00000250356454
"CMC-IMH Shard 7","road_typeroundabout",1.00001113758501,1.00004707618839
"CMC-IMH Shard 7","road_typeslip road (from 2005)",1.00001121862409,1.00002735907036
"CMC-IMH Shard 7","speed_limit1",1.00006127842445,1.00011960119717
"CMC-IMH Shard 7","speed_limit3",1.00000246060757,1.0000074543992
"CMC-IMH Shard 7","speed_limit4",1.00001320335729,1.00004861770902
