"Method","Chain","Parameter","Mean","Median","Std_Dev","CrI_95_Lower","CrI_95_Upper","Odds_Ratio"
"Full-data IMH",3,"speed_limit6",0.390120813917781,0.390520508192298,0.0680617964512027,0.255229162252019,0.522276623569627,1.47715924449828
"Full-data IMH",4,"(Intercept)",-1.8980518604419,-1.89803324696201,0.0129309260730919,-1.92339216185302,-1.87267381154491,0.149860283775774
"Full-data IMH",4,"road_typedual carriageway",-0.224886250268493,-0.224623023006325,0.0389949578320958,-0.302604987904074,-0.149110430560241,0.798607054931062
"Full-data IMH",4,"road_typeone way street (from 2005)",-0.012706174177533,-0.0120210554669679,0.0723907685982719,-0.156422959798274,0.12749571874694,0.987374208441548
"Full-data IMH",4,"road_typeroundabout",-0.410644644476895,-0.410525431657902,0.0367997759648323,-0.48302256630134,-0.338956437195026,0.663222569533759
"Full-data IMH",4,"road_typeslip road (from 2005)",-0.757190172524664,-0.755599782213817,0.117956008229165,-0.992437845069603,-0.531310725748417,0.468982336859866
"Full-data IMH",4,"speed_limit1",0.171345540990301,0.171933130702242,0.0719249535877669,0.0282624145198752,0.309849231021307,1.18690080105092
"Full-data IMH",4,"speed_limit3",0.181746720963331,0.181912528364761,0.0382831607744049,0.10621535029484,0.256373775586818,1.19931039522701
"Full-data IMH",4,"speed_limit4",0.383775462917854,0.383848283211025,0.0571639147089154,0.271286187517416,0.495650963531907,1.46781582559525
"Full-data IMH",4,"speed_limit5",0.537864684711322,0.537877549217202,0.0326834222369806,0.473593293522044,0.601719691840824,1.71234655584139
"Full-data IMH",4,"speed_limit6",0.38961243972261,0.390298933186099,0.068651399829229,0.253820050140899,0.522728800788764,1.47640848570559
